iter	RMSE
0	1210.59271
1	1182.51241
2	1155.855559
3	1131.848127
4	1110.76012
5	1090.375176
6	1069.477541
7	1051.025257
8	1035.541201
9	1020.40311
10	1006.868668
11	994.1423043
12	984.1099285
13	973.8660598
14	965.0122336
15	957.2943279
16	949.2972653
17	941.6578955
18	935.0530508
19	929.0589245
20	922.8796396
21	917.4853351
22	913.2312501
23	908.4620238
24	904.8597323
25	900.9537343
26	897.143276
27	893.8253633
28	890.9816502
29	887.9784433
30	885.8011708
31	883.3681879
32	880.8140922
33	878.2829416
34	876.2068933
35	874.0514353
36	872.1221636
37	869.9385459
38	868.6039994
39	866.7083149
40	865.2319275
41	863.328053
42	861.9810802
43	860.0399908
44	858.7597336
45	857.039655
46	855.9088257
47	854.3343341
48	853.2445963
49	851.9981331
50	850.5928512
51	849.3131449
52	848.3212476
53	847.2125309
54	845.9759488
55	844.9328199
56	843.8222921
57	843.0558135
58	842.1849381
59	840.8845691
60	839.7266012
61	838.7163471
62	837.7525566
63	837.2604372
64	836.5930471
65	835.6090921
66	834.8565871
67	833.6948298
68	832.9166636
69	831.9309283
70	831.2114562
71	830.4130229
72	829.7194414
73	829.0174178
74	828.337005
75	827.9028501
76	827.3887528
77	826.9196064
78	826.494351
79	825.9357255
80	825.1528386
81	824.7225974
82	823.7608701
83	823.0415174
84	822.2994673
85	821.7895709
86	821.1580458
87	820.5662687
88	820.0131055
89	819.4988283
90	818.8858664
91	818.3364055
92	817.4935255
93	816.8834968
94	816.4318969
95	815.8162617
96	815.3559717
97	814.9398131
98	814.4157956
99	813.899871
100	813.3459083
101	812.7781148
102	812.3223443
103	811.9563614
104	811.3801105
105	810.9033805
106	810.3648563
107	809.9439281
108	809.4632495
109	809.1214287
110	808.6719309
111	808.1815186
112	807.6682216
113	807.2426804
114	806.6137926
115	806.1920817
116	805.7066404
117	805.2293515
118	804.7661858
119	804.4783296
120	804.0095954
121	803.5868657
122	803.0444507
123	802.5543792
124	802.1293445
125	801.6473189
126	801.1328544
127	800.6251613
128	800.3136823
129	799.3084964
130	799.0385742
131	798.708153
132	798.2875149
133	798.0159597
134	797.6975684
135	797.2846521
136	796.8922077
137	796.4036447
138	795.948505
139	795.497274
140	795.1633702
141	794.899789
142	794.5487468
143	794.1903392
144	793.7124059
145	793.36496
146	792.9914182
147	792.60417
148	791.7426201
149	791.2502069
150	790.6491282
151	790.0193751
152	789.6782011
153	789.158515
154	788.7223004
155	788.307429
