iter	Passed	Remaining
0	259	259346
1	532	265619
2	824	273960
3	1194	297418
4	1649	328281
5	2124	352021
6	2493	353656
7	2873	356330
8	3312	364755
9	3849	381088
10	4260	383056
11	4596	378449
12	4882	370704
13	5127	361089
14	5423	356113
15	5654	347739
16	5872	339577
17	6114	333569
18	6369	328849
19	6606	323716
20	6851	319415
21	7115	316331
22	7336	311633
23	7587	308538
24	7824	305149
25	8064	302106
26	8315	299659
27	8585	298030
28	8906	298198
29	9131	295246
30	9367	292814
31	9583	289903
32	9818	287723
33	10093	286775
34	10335	284960
35	10561	282802
36	10796	281013
37	11045	279626
38	11277	277895
39	11571	277710
40	11821	276516
41	12052	274907
42	12314	274058
43	12536	272373
44	12758	270773
45	12973	269062
46	13229	268253
47	13489	267540
48	13725	266386
49	13952	265106
50	14204	264322
51	14471	263819
52	14715	262928
53	14965	262166
54	15230	261695
55	15515	261549
56	15865	262471
57	16111	261668
58	16384	261317
59	16634	260606
60	16904	260222
61	17163	259659
62	17381	258519
63	17642	258022
64	17863	256953
65	18095	256072
66	18323	255166
67	18631	255356
68	18847	254310
69	19072	253388
70	19327	252886
71	19557	252077
72	19806	251517
73	20043	250812
74	20260	249884
75	20493	249152
76	20708	248230
77	20946	247593
78	21163	246727
79	21388	245972
80	21633	245442
81	21875	244897
82	22131	244517
83	22497	245328
84	22781	245238
85	23017	244627
86	23230	243788
87	23458	243115
88	23712	242715
89	23951	242178
90	24205	241793
91	24421	241030
92	24671	240614
93	24913	240126
94	25158	239665
95	25424	239412
96	25674	239009
97	25929	238657
98	26165	238134
99	26396	237571
100	26668	237371
101	26948	237254
102	27178	236690
103	27406	236113
104	27634	235554
105	27876	235111
106	28123	234712
107	28361	234243
108	28647	234175
109	28889	233740
110	29198	233847
111	29446	233466
112	29682	232992
113	29926	232584
114	30177	232231
115	30403	231694
116	30650	231317
117	30882	230835
118	31146	230587
119	31397	230250
120	31635	229812
121	31908	229633
122	32182	229464
123	32405	228926
124	32662	228635
125	32900	228215
126	33125	227707
127	33365	227301
128	33604	226895
129	33875	226704
130	34117	226322
131	34355	225910
132	34591	225493
133	34797	224886
134	35048	224568
135	35274	224097
136	35568	224056
137	35883	224139
138	36140	223866
139	36411	223670
140	36665	223374
141	36917	223064
142	37221	223068
143	37456	222655
144	37698	222291
145	37938	221913
146	38148	221367
147	38368	220875
148	38605	220491
149	38828	220025
150	39052	219575
151	39292	219211
152	39506	218708
153	39734	218282
154	39963	217862
155	40190	217443
156	40449	217189
157	40690	216842
158	40930	216495
159	41169	216140
160	41432	215912
161	41665	215528
162	41891	215112
163	42116	214692
164	42426	214704
165	42661	214337
166	42898	213979
167	43116	213531
168	43337	213097
169	43576	212754
170	43812	212399
171	44056	212086
172	44288	211716
173	44521	211351
174	44749	210960
175	44969	210540
176	45219	210258
177	45461	209938
178	45691	209566
179	45902	209113
180	46112	208650
181	46319	208181
182	46567	207900
183	46777	207447
184	47031	207191
185	47254	206800
186	47489	206463
187	47738	206191
188	47954	205773
189	48167	205345
190	48383	204933
191	48692	204914
192	48907	204500
193	49134	204135
194	49359	203767
195	49565	203320
196	49822	203082
197	50049	202726
198	50277	202374
199	50486	201944
200	50697	201530
201	50926	201186
202	51149	200817
203	51383	200494
204	51595	200091
205	51807	199686
206	52052	199408
207	52257	198980
208	52468	198576
209	52694	198232
210	52927	197915
211	53178	197661
212	53407	197331
213	53645	197035
214	53860	196653
215	54080	196293
216	54310	195969
217	54549	195678
218	54865	195661
219	55097	195345
220	55333	195045
221	55571	194749
222	55810	194460
223	56025	194089
224	56253	193763
225	56487	193457
226	56695	193063
227	56945	192815
228	57175	192498
229	57390	192134
230	57632	191858
231	57847	191496
232	58080	191193
233	58312	190886
234	58554	190613
235	58776	190276
236	58988	189908
237	59208	189568
238	59438	189257
239	59668	188950
240	59903	188657
241	60146	188393
242	60359	188034
243	60583	187710
244	60821	187430
