,modelA_train,modelA_test
0,2201.1937970736235,2273.211912240594
1,1874.8101772494508,3224.117004257084
2,2117.1315020418656,5255.96859541254
3,2574.0124805630894,2154.1918106892836
4,2238.3961168737133,2161.8618437831815
5,2187.963682023246,2665.68535912689
6,2683.266063358576,2050.3961956018074
7,2368.0927337675644,2005.7567427936597
8,2472.3685954794255,4787.983355521578
9,2273.8114016916165,2653.776393307796
10,4363.6453278768195,3870.352941241779
11,2237.9734160213375,1597.412676693482
12,3442.3113563973557,4560.790998615039
13,2002.620923241189,4494.1260564774875
14,1990.2569657694344,1926.389486269471
15,1693.1500348203392,2454.3873945652826
16,2426.702653905264,1933.3062571785697
17,2460.7904849984643,2511.6054380422056
18,1764.8665093833638,3192.5933395862967
19,2361.8640986376167,4030.6609750537345
20,1646.2888780002286,2171.3227207603322
21,1800.6275191448226,2464.1485742814757
22,3199.4334810123682,2519.9042314799094
23,2272.2757755789435,2075.2826592849106
24,2606.593333399347,2850.9546271159093
25,2432.6371153270848,2017.4598323955718
26,2086.1550119275616,4021.5077701628848
27,2781.9611025749296,1861.1294087782003
28,3282.876529287652,1924.185469012936
29,2229.342883827461,2319.0267821672674
30,2246.6683138717044,1858.9150850497958
31,2117.7581504383443,2947.912985105005
32,2365.9817152459145,2591.429812068981
33,5842.132690571458,3085.2864147900555
34,1932.2946601865685,2234.1041970356364
35,2209.944513149522,2555.8467685520836
36,2453.883596480767,2256.2537105450633
37,2542.868918343862,2983.0172350609696
38,2479.576034775614,2171.5182195356856
39,4235.617053396731,4065.6723268222
40,1827.3645044908662,2545.862213191382
41,3046.040896117135,2304.126869742673
42,3528.7041987411953,1731.8151887864162
43,2268.879145539224,2081.701667480142
44,2540.1860504470874,1709.8093768475799
45,2381.07403849536,2423.887580821049
46,2336.509824202283,2140.9677556673246
47,2257.2839418227545,3713.1953906177987
48,2422.3608433540635,2040.1828389746097
49,2406.7632305298125,5747.501034400246
50,2380.659277856056,3336.9567873734063
51,1959.2592761602268,2479.0925686896103
52,3862.0252996597496,2520.242912277274
53,1730.600367400987,2595.092737275686
54,3028.342338996145,2255.0322457319135
55,1969.103411156822,3125.6338417399515
56,2288.2946842013475,2234.7525237253867
57,2325.1955093037063,2216.486646688175
58,2965.6504385116386,1899.9896181760873
59,6625.676675596273,2167.4070046913707
60,2705.7465542618306,1690.4153132378372
61,1725.3887196436522,2213.7054698592406
62,3246.153758875101,1907.3660851895693
63,1709.835884601471,2242.087815107354
64,2141.15241479222,2940.86540747394
65,1369.0505966159747,2786.3689858011326
66,4790.190877174984,1869.4272724096686
67,2318.1883587132743,2112.891833056828
68,1957.2358313877005,1690.300318542316
69,2646.658834905429,2403.338186867667
70,2006.4318630973448,2953.651331280474
71,2389.6216926900875,1552.5162029991302
72,2779.194171002749,1700.2005538703506
73,2646.658834905429,2679.8580080211186
