,modelA_lgbm_train,modelA_lgbm_test
0,2395.0914287730484,2316.434870312698
1,2035.622958504792,2920.096899887031
2,1968.252159094537,5338.90836372398
3,2484.2741201531235,2247.2656819355507
4,2140.2350054504145,2238.4537223102484
5,2402.1791896548098,2830.869405920097
6,2600.966983446372,1957.1876640130158
7,2563.0175987803123,2102.3888686378355
8,2428.4941774286794,4655.841791242592
9,2273.688139351702,2822.675780498938
10,3909.834588118617,3760.3444965175477
11,2169.0152399600356,1715.2860803534227
12,3588.8912042224774,4580.095257955662
13,1949.9267473605844,4547.125034841898
14,2015.4448790949184,1930.7568029272304
15,1587.3759636052291,2517.240409253238
16,2550.3747286865914,1885.6693335628868
17,2419.5463656086495,2506.6827077915123
18,1809.7986756922169,3509.9487294801233
19,2425.354920979338,4294.894931286391
20,1631.4496391065202,2252.0426564312434
21,1855.1099591311659,2719.4259686394507
22,2915.8621520210413,2684.269961515566
23,2354.731639755138,2111.013271856815
24,2936.6404039067606,2857.6825064951663
25,2539.8021216256275,2084.3624212891746
26,2182.9535119285088,3941.5564338037193
27,2780.678184799511,2035.6244360915214
28,2888.939734204397,2083.138285932778
29,2269.422794589153,2595.2618348797464
30,2248.9129600883875,1901.411912794077
31,2206.544480500336,2569.8778128512467
32,2409.970195356078,2536.6988041996583
33,5582.541314925824,2917.032512558805
34,2067.767431037238,2378.3643357099836
35,2275.1164897234394,2793.4643324659323
36,2230.3866109999763,2319.9739064639743
37,2628.4711190426183,3245.9894309282417
38,2627.7836440876763,2159.387383166816
39,3953.0681506069427,3797.4059617972234
40,1919.5135965646402,2821.40969887451
41,2791.101980748332,2274.14474355288
42,3640.107349280812,1828.8614984062565
43,2225.8797647336964,1939.402321218841
44,2670.268224027045,1776.809933731117
45,2336.269200856706,2565.6314803888376
46,2317.567847410149,2037.573193859126
47,2317.567847410149,3310.8210464548692
48,2370.1363652675673,1897.6096232803175
49,2193.2810247956313,5515.824416304566
50,2389.9543751813903,3569.697594495371
51,1953.8763246122787,2448.832820079909
52,3764.1544303673754,2332.6804259005435
53,1666.7760546239028,2488.7204674547756
54,2908.9147232972896,2135.7650401575843
55,1889.8182317171684,3192.3613675173683
56,2402.6743558184976,2257.3597322908454
57,2307.764260442348,2144.390663599043
58,3076.32931631664,1866.849407361043
59,6104.534334170263,1978.9078302726775
60,2873.3912407748244,1611.4868060622316
61,1723.0487738818483,2196.7307996519266
62,2790.292736696906,1912.8576539121605
63,1837.2286720064758,2189.4275306552913
64,2202.154035157816,2790.1071606209252
65,1736.336431372881,2619.529490450731
66,4534.667678415092,1912.1570002236986
67,2304.610976366585,2201.523481273521
68,2030.8370153357623,1652.0690096329836
69,2560.4654821069557,2351.939610835461
70,1883.2660216602326,3180.6227194096655
71,2777.2504937804874,1632.139251968597
72,2716.8616111147335,1608.081064113599
73,2560.4654821069557,2797.869821696097
74,2262.142179820888,2104.3556293344427
75,2498.68443865825,1988.7734997546747
76,3191.5119756973213,2433.387447174497
77,2649.736444205526,2244.1092435610462
78,1833.9646812642493,2635.493966328454
79,2457.9612723794808,3095.0266870527926
80,2454.919100155871,2199.955683979754
81,2643.2156117181257,2813.5397714362875
82,1772.322057991096,2666.3866108747443
83,1797.94968161121,2403.8810255545486
84,2269.072818764464,2065.377577979715
85,1895.2058769030511,1746.9472386386558
86,2316.717213905365,2480.624914520223
87,2360.45739615592,2592.235828144018
88,2859.176334930305,2250.755018055072
89,2151.9622921450405,2382.0917291251876
90,1984.448735743981,1629.7817004896344
91,2424.7262968439004,2108.7506367300957
92,1919.1730280764962,2876.516749403494
93,2099.2644958569936,3661.292646215821
94,2842.5748182209936,3524.2101464240163
95,2608.754470593022,3336.418034207594
