,modelB_train,modelB_test
0,2445.788395319244,2203.037055881393
1,1742.8868415001505,3279.9442437272182
2,2161.2778551840047,5231.799524254062
3,2444.991565413418,2247.638792540393
4,2250.4174707793045,2140.694443277268
5,2320.938691500029,2745.64518964332
6,2586.5385514040113,2057.927149030011
7,2338.5884816949556,2038.2815026822318
8,2434.0617286538013,4943.591139669533
9,2258.750850275349,2892.372173576203
10,4428.27545985711,3830.073241789853
11,2546.7600749171866,1698.9992718203455
12,3357.298972605464,4415.7857234210915
13,2056.0164092034624,4631.370068886319
14,2068.9154540579375,1959.4631673914282
15,1664.063939580115,2437.1507688649826
16,2201.8693910754155,1956.8650335658913
17,2285.6023124809294,2455.1391157817666
18,1791.5258920726474,2838.556877787653
19,2350.4078981342614,3907.266396904507
20,1433.762401369416,2124.5601861103473
21,1882.5060479679587,2477.418186518823
22,3447.578280642198,2629.6233886440073
23,2305.9498230236195,2012.124959080887
24,2202.895590617931,2973.772505279787
25,2522.319755975721,2117.508827827112
26,2225.287870568907,4058.710430370542
27,2808.875484557358,1775.4907433929034
28,3311.786705440532,1954.1490284938664
29,2062.3347717818365,2242.3087260754496
30,2145.5715206901623,1865.9772266072855
31,2041.2235813998059,2923.334145871601
32,2479.723788980888,2498.3491715982414
33,5717.703349530208,3106.5006780541435
34,1935.9429221746836,2216.182021391912
35,2092.0481596140085,2550.7967312801206
36,2237.3053755865744,2419.6521101821522
37,2676.0561302815463,3000.551833190608
38,2681.5632225614395,2170.3099639091197
39,4684.868978743622,3634.0642823043227
40,1718.045054216134,2697.1723850125895
41,2651.0107988865097,2263.577649862993
42,3346.0773487065007,1979.7514745389967
43,2286.8059999271754,1604.1362035321959
44,2389.0162452055843,1662.6811986890098
45,2418.261069336199,2432.1430399408127
46,2214.435526910311,2217.507748202116
47,2214.435526910311,3756.176216882802
48,2278.771195258644,2175.7664915896376
49,2492.493014822985,5517.113727930395
50,2328.015859070959,3719.915958227649
51,2159.4214277778747,2435.4400886852936
52,4014.2736132508135,2490.9114695456383
53,1705.8098065719466,2626.1984534402577
54,2978.479127050381,2167.695206853089
55,1724.314454947342,3035.87766394199
56,1937.0773281327533,2182.0716011230834
57,2283.8945573590927,2197.755575906785
58,3058.2928991189374,1834.7910297390274
59,6286.445466810968,1994.1888003629715
60,2967.876208282741,1752.6212884166878
