,modelB_lgbm_train,modelB_lgbm_test
0,2628.743178480539,2247.500918949995
1,1965.9448097033317,2893.797630209099
2,2233.0077880190047,5221.436042183208
3,2351.7583125571896,2230.2506597450933
4,2184.811956745009,2166.193124847876
5,2319.6520104355036,2762.189511969897
6,2466.941914861339,1974.384932316975
7,2389.5855131129742,2140.544491162629
8,2259.866373566318,4873.2868649617785
9,2174.3332787281483,3122.937164801963
10,4138.343635795992,3480.417974019688
11,2263.1286487165967,1876.0754500145872
12,3278.4007768268366,4383.984283106429
13,1958.6098050672865,4545.597536944845
14,2038.4862796267407,1958.0071425665114
15,1789.976842785172,2439.629777869313
16,2306.377575367709,1922.9179819501999
17,2201.366130068907,2450.6143849836017
18,1781.1740877920117,3056.131758852237
19,2373.4795899687765,4205.435060163101
20,1682.0887458565107,2148.5795127817573
21,1970.913989178051,2678.809591034362
22,3136.130688418656,2705.285169015903
23,2367.405430674544,2178.4965360867723
24,2811.750279382304,3042.4966217462083
25,2390.9677998458856,2212.6922090423895
26,2197.9021524929512,4087.9240317056283
27,2769.872888289992,1947.8719580106779
28,3467.430738091121,1990.6687165253447
29,2363.4344907848913,2500.3809679480946
30,2262.0284083398565,1966.1305528263917
31,2022.87781843383,2669.503429182648
32,2416.2478489403356,2468.623647974534
33,5877.20415253746,3239.0901472496635
34,2040.040413887199,2379.47279172047
35,2216.6328990029565,2638.3000308520895
36,2395.904937118599,2357.828085900825
37,2730.1898969042977,3146.9740111260276
38,2666.1292464990333,2218.8977984401513
39,4067.0129592636413,3541.99311098888
40,1945.3252172747452,2790.1215939638064
41,2776.4353408179068,2272.2669659028365
42,3731.3677249810357,2076.5102690082754
43,2180.978842982982,1690.0839794767714
44,2446.045340820529,1698.779736761025
45,2277.963898353482,2510.3178892873793
46,2075.7079686125558,2039.717758193304
47,2133.4299670839905,3780.5335721872134
48,2406.8005511243105,2062.5906968310746
49,2238.823793231927,5473.456667273651
50,2425.692306361662,3642.6214270016926
51,1976.975101973969,2501.9253867761627
52,3919.153194661218,2339.9918803968303
53,1486.6615394235025,2396.470487654015
54,2627.9666674571154,2134.5637354700348
55,1954.5022516850474,3115.777258999312
56,2026.881341650763,2121.3332880807857
57,2311.602835361218,2220.0504184574283
58,2733.543952911323,1865.1228097775106
59,6386.2566872772195,2088.742755802247
60,3179.2872261133466,1669.5890502130405
61,2121.6720012940864,1997.864999929933
62,2928.730052925564,1955.5894377112295
63,1672.7197799290902,2248.388614214563
64,2321.910884832731,2775.321032278268
65,1696.333799923869,2691.7661362802955
66,4400.666931906755,1871.4401464414154
67,2265.480829389733,2348.6403774940204
68,1979.2439063793552,1825.2632248430455
69,2690.8241789180142,2350.2341436627003
70,1895.1505321067366,2816.9226367625806
71,2663.568037224829,1588.2352135691413
72,2471.9401094212203,1524.2806984919953
73,2690.8241789180142,2680.6655708710814
74,2373.134485982305,2024.435709962617
75,2192.564909001157,2091.93687892833
76,3344.4440070907913,2318.055046501767
77,3090.1753071872276,2047.5358450288863
78,1751.8448521524674,2787.286769696306
79,2439.6963982892194,3044.559964190383
80,2643.277142006699,2145.2087781998757
81,2523.2787245642976,2739.0439904089044
82,1826.6613017677303,2905.078652767798
83,1983.4301771630824,2321.4915431507548
84,2555.877394377987,2183.9312831484676
85,1960.0604926456374,1745.8964386107739
86,2465.260089393613,2479.3479092069633
87,2366.6607579749284,2863.0753894216896
88,2733.54783608971,2237.1576935151384
89,2398.079015398786,2326.9896996809694
90,1882.644566082072,1733.2050989796528
91,2362.6394416902967,2122.999379526287
92,2082.966530296131,2809.7357220393046
93,2388.235896352712,3878.1458679602524
94,2429.66027775084,3478.92099768705
95,2711.4041293971345,3155.3996244300206
96,2030.1583309227915,1653.3748196359156
97,2244.435931589783,2346.639591564198
98,3310.402085812554,2800.433356247289
99,2343.1625727846126,2172.3728313130587
100,2356.251918981583,1914.6895272385561
101,3345.4190661039,2344.3572950597977
102,3156.0573045729916,2134.2754070226138
103,2280.233825339168,2340.7847706300217
