,modelC_cat_train,modelC_cat_test
0,2668.2199676549376,2227.9431107850723
1,1827.6574842697219,3080.4329393618887
2,2319.174110349921,5189.83422379768
3,2673.389780121599,2255.846992552347
4,2016.4905919612852,2251.930850518099
5,2283.8771512642998,2642.8461444979157
6,2674.6324249573886,1887.4881159235651
7,2386.3507410822544,2036.1868575607289
8,2492.1482152557955,5004.714408474587
9,1943.3252686031233,2654.296999300804
10,3994.9964108897148,3940.8022370583813
11,2444.840776794777,1534.8020245193904
12,3392.5720455769533,4427.559310358329
13,2093.4726295101354,4197.035037655932
14,2179.2648732049597,2003.3487401905018
15,1570.6418094774215,2295.4937642089108
16,2293.6270734867608,2053.90823044377
17,2296.4465045298425,2477.122936127344
18,1818.6404512437812,3307.6279590012323
19,2146.272030767148,4063.9388047446423
20,1581.4434814968129,1999.247929370894
21,2069.543211756571,2497.4209939266557
22,2990.0799820492716,2648.670111329666
23,2441.3250780399103,1988.3456250280913
24,2549.97549651986,2833.152742467508
25,2525.379412668959,2062.6185965963086
26,2141.830864991868,3782.0574135219213
27,3002.577925515511,1980.6787178801358
28,3860.340903482085,2085.179680295718
29,1902.2184303357442,2576.4840465455823
30,2167.104903851727,1899.1440222418423
31,2417.8395117265645,2790.6276063640994
32,2407.3959162826504,3299.204715071869
33,5304.736208597694,3160.146686165687
34,2109.5240631951783,1885.267013782532
35,2335.641663923187,2754.730461815065
36,2275.719589120346,2385.4170799903995
37,2678.1936844525017,2877.9790282130975
38,2347.947320357929,2333.454407334844
39,3990.033152523577,4476.537522643752
40,1910.3687117546506,2694.939829626163
41,2969.5287120612093,2459.6907163314427
42,3126.3054367429536,1907.4259781190704
43,2398.6247466169107,2106.7213629827156
44,2740.3609060784565,1700.3214020716018
45,2329.1295865853594,2319.2590280898244
46,2380.858719149033,1949.8823931140112
47,2407.494486795228,3391.7327139066365
48,2513.3242724180895,1969.6256902176901
49,2513.518332303124,5731.997690860024
50,2454.6974664847226,3148.3504781440256
51,1976.4607950855575,2315.564601885707
52,3839.711001819247,2838.0501710163744
53,1911.5069539391752,2626.1703558095896
54,2924.4564159694955,2218.364843158258
55,2115.5405487537187,3341.0043384116407
56,2092.322585420712,2378.362789070721
57,2048.0870123951777,2175.210018396552
58,3035.072523393019,1978.8585923325286
59,5862.132420465888,2098.5925111475326
60,2915.8618724609255,1795.8336577359569
61,1919.6023962530667,2086.744651688258
62,2957.501404316389,1993.9118702187811
63,1660.1366228198742,1983.667654227926
64,2211.315548252275,3047.925840461744
65,1567.2852533858695,2803.7963522244654
66,4435.056338420853,1903.7640968028816
67,2458.122706948904,2253.4934167262995
68,1944.3994928898542,1854.3837903254746
69,2419.733721778152,2393.5514637515735
70,1729.605548236139,3021.720967022339
71,2346.0551528733945,1577.0160148531488
72,2559.5586870857287,1788.5533288927702
73,2419.733721778152,2717.715330076545
74,2186.9312042938104,2203.749531999718
75,2426.9361903245785,1944.8073882020763
76,3319.347505374752,2929.5092049329423
77,3012.8676950071667,1988.872477080319
78,1819.2814557388695,2648.883152057015
79,2301.9539367491634,3256.6655957248176
80,2741.717700864727,2095.6325484281515
81,2592.050560032358,2927.6849172741204
82,1770.2937597368173,2917.408256571439
83,2255.5918022522046,2571.6644167389627
84,2561.4372614532335,2213.91347453009
85,1897.0276718443115,2127.665819465962
86,1905.6287501133845,2575.673401804667
87,2585.58127418881,2511.6311554444546
88,3196.4315725289935,2346.720443996037
89,1953.3170350631403,2172.252315209876
90,1979.7661371167665,1575.8328824743512
91,2397.821420446282,1994.7371082764698
92,2232.740476010523,3174.3461357071715
93,2271.020421626146,3736.550537940122
94,2597.0865895576644,3682.4849857243303
95,2632.6389321839424,3077.2943294067454
96,2099.703780356264,1429.615150564297
97,2095.812568858768,2521.2154443188274
98,2814.122134233084,2696.2170212162373
99,2432.366689790181,2462.4867459430243
100,2679.520670800822,1819.277078493857
101,3337.1664594702906,2380.911709865388
102,3466.8906082548424,2266.312095275859
103,2175.4973190067176,2357.2235886318467
104,2246.5440095228487,2408.1559798073517
105,2608.350165562374,1962.6748373062608
106,2119.3381029672432,4982.340272868072
107,2213.0976047733984,2014.4602766544297
108,3029.230190090802,2505.891642423866
109,2189.131766766947,4221.643259286377
110,4295.193483033381,2298.7711640333882
111,2236.3418404616023,2536.5110068309564
112,3338.351738135889,2682.45854550296
113,3091.6963235984535,1443.5766267331815
114,2641.1456133016986,2386.7561100765733
115,1828.3985935392602,2475.660759670104
116,2052.522534071043,2461.880183131344
117,2551.7570257706548,2478.843678722904
118,1606.4191076169755,2818.0856220942323
119,3523.295338480758,2779.493933614681
120,1883.8426545402795,2046.2306506237517
121,3667.590753696995,2743.702443808983
122,3233.7735404123314,3737.099278263734
123,2385.02514261317,2415.612297936568
124,3379.1273840402264,2445.172089023054
125,2304.453159360434,2275.9564787800055
126,2923.9933776260823,2786.485778341244
127,5187.567653010851,2343.61176677142
128,1825.681044522756,4092.2034971646717
129,2355.111452372029,4220.035373865232
130,1713.5320355507058,1941.6899159835186
131,5045.169412980812,2958.614320637447
132,2309.307473595222,3517.8979530662364
133,2256.6726305534507,2163.160230158842
134,2313.5147620015637,1479.6979218191755
135,2443.337676927521,2481.5583213984673
136,3014.8053154262866,2325.3508830369087
137,2842.8052638594922,2861.4180950781033
138,2284.200376173309,1573.741138420424
139,1927.1787493535248,2803.140782777169
140,2082.1033743344,3862.2705046925885
141,2779.0781637609025,2157.529153265931
142,2504.019589175772,2305.57802416149
143,2185.3871690842248,2311.823919696867
144,2314.426250440197,2040.8289961025464
145,2641.1805815640587,4040.381329808336
