,modelC_lgbm_train,modelC_lgbm_test
0,2760.0850173478343,2366.864717905619
1,1739.6734036893906,2937.1568135505076
2,2179.9124875877956,5421.60112722044
3,2624.7827528159946,2280.1230232888975
4,2512.4477698283877,2315.243922134275
5,2356.0121845965964,2872.5318813747144
6,2559.2706803673404,1980.3314938426236
7,2313.5996358754055,2054.414778604964
8,2297.059657217789,4720.380600424624
9,2223.590651320711,2771.114223093282
10,4125.788714583012,3850.4973382100457
11,2240.657117453074,1872.3186750994385
12,3052.0698562559305,4214.730292498116
13,2179.9489133482775,4357.410695784703
14,2023.3565998801264,2209.1783146334287
15,1723.3060245067716,2313.999967668432
16,2416.369920938671,1949.250543257267
17,2281.4539924216106,2508.8655001438065
18,1828.607707130459,3338.0598164120493
19,2216.5836624014532,4146.029666494904
20,1744.5551261625767,2032.7018725123248
21,2079.3772629578752,2698.4566088477327
22,2890.8515738359565,2837.3235036258693
23,2358.1709298321125,2133.6768947732608
24,2984.078926315789,2741.7112859960166
25,2528.016637808458,1918.2909492838614
26,2285.867217117673,3947.2936601267174
27,2800.744668948888,1948.5707817451907
28,3815.9049430430096,2102.256008130811
29,1829.8901813805808,2718.8191080589377
30,2132.8755824471614,2085.299997389541
31,2191.817207475618,2687.069261796517
32,2364.2553515816467,3068.292217757399
33,5436.266658255231,3144.6675260050083
34,1958.469676834826,2282.278380727664
35,2293.1216796870863,2702.413324864002
36,2105.070674378381,2432.1475051234047
37,2521.8419734754943,3124.5383547296306
38,2190.8274141184756,2306.8301243555484
39,3975.573563586681,3504.541221411941
40,1997.0922790238997,2715.9441340830545
41,2743.8202471640825,2460.892228277444
42,4019.767899806159,1927.7901710017984
43,2691.2094380621656,2012.7279306716166
44,2650.076113207829,1669.1485367066198
45,2407.6918445441597,2360.4242279023515
46,2326.9214292623674,2044.1093801551233
47,2320.441158730507,3362.6597419727723
48,2449.043416583758,2077.384888161915
49,2483.652112789593,5521.377825042395
50,2464.1778435247,3279.6740870387575
51,2103.07154392495,2338.426303193986
52,3942.964555814328,2950.143493896396
53,1719.1963419061615,2569.134375902697
54,2631.5177144547174,2361.1942495093144
55,2068.3080363784543,3404.2739860488336
56,2168.8094654794118,2460.692457592626
57,2659.9075102430365,2211.3354435217107
58,2989.9429282128053,2072.2893068569256
59,6299.776212297897,2069.580254817014
60,2848.305676973125,1860.9556545848877
61,2021.8200503019089,1994.2995971076227
62,2724.0382275555053,2007.6043964730918
63,1675.236508283434,2195.231136526304
64,2137.733585752569,2803.2168667062856
65,1442.8157899917371,2656.733971479474
66,4259.993087747574,2087.521079292927
67,2418.9219611642056,2318.0914603139477
68,1963.827281318392,1927.8084961759328
69,2390.1782526488178,2372.559033887479
70,1976.9541632624318,2942.9866473036227
71,2407.691155869948,1643.3758995140688
72,2551.052867895553,1848.025349686086
73,2390.1782526488178,2444.753160491758
74,2255.683136638063,2195.8099978546716
75,2422.2253501252903,1977.4229623400872
76,3279.071041893126,2702.399441003119
77,3191.940310220503,1938.8813036267995
78,1728.870120515109,2782.1025261230334
79,2361.3546210139393,3366.7741939180632
80,2391.181597368231,2320.8473431222615
81,2322.253087605754,2611.0688619548478
82,1877.5609557066339,2588.8059249990647
83,2248.6993317478914,2326.6608529704417
84,2421.8315250129626,2036.3743842027525
85,2274.727386560813,1927.0212171705396
86,1881.5159647815124,2462.5005003774218
87,2698.5717689129006,2599.0687027436556
88,3297.629891954971,2316.0919510156737
89,1973.9277203196536,2042.489969820002
90,2133.9258933804804,1764.351881423058
91,2669.475877507576,1837.5212197446076
92,2248.9219907735073,3258.9861405340207
93,2158.7108213166994,3578.779485558481
94,2760.358949680849,3633.8005402227354
95,2634.696704956956,3379.4560401941635
96,2054.7594150188156,1592.7176464442616
97,1912.1528631756164,2458.94967927831
98,3129.688692282075,2592.6934046259057
99,2367.73746376558,2564.9795971186268
100,2489.0047688057502,1837.532200175905
101,3835.9144307049837,2339.119941049647
102,3480.8740560862443,2098.184123786526
103,2186.108383585911,2283.9729331296594
104,2291.0581942020044,2418.1359105778333
105,2847.793485858265,1965.24949481473
106,1992.2799624846114,4962.545639593221
107,2338.4645649383374,2140.813579910517
108,2710.8437679346134,2249.8174950734365
109,2294.0497208718343,3864.2723394102954
110,4176.83571385565,2390.961867736475
111,2212.8595939448487,2489.7482861177896
112,3596.2344797015153,2808.9353998298006
113,3149.020581825817,1633.3366251471102
