,modelC_ridge_train,modelC_ridge_test
0,2980.0671747315982,2149.6616335559634
1,1801.0419114580482,2895.4024235192555
2,2056.1439250682843,4310.537040441946
3,2661.8977445988767,2419.787506700258
4,2179.0095824990185,2100.8062989764417
5,2112.6633457928747,2849.3872285112607
6,2373.333430900148,1961.533024107066
7,1433.4564355666319,2067.8914290195444
8,2352.9860560687443,4498.980273512972
9,2131.214998365864,2909.550925439903
10,3889.869119646092,3474.0188673643147
11,2853.15413988223,1381.4082555397126
12,3238.242919488382,4269.464870878172
13,1616.8128318742963,4244.649336750821
14,1982.8696045994832,1831.6667838609494
15,1487.108487030754,2120.880474120625
16,2226.427990485564,2123.679128920759
17,2138.5301140513657,2630.671086825901
18,1859.1346823335011,3843.015932739575
19,2062.7388628485323,4202.3899615804385
20,1429.0824230220082,2094.006670985264
21,2038.5342272504718,2398.1190462750897
22,3319.6454935612646,3085.5482169932284
23,2494.168805969364,1996.1810796227062
24,2622.833341112139,2901.5051789426548
25,2201.3136168369965,2425.364449997516
26,1937.8361652154624,3564.734287384353
27,3088.634682076243,1664.7495973433154
28,3614.3424416968064,1766.48657839095
29,2036.8424034599275,3025.770023819559
30,2288.618754944461,1654.2493112880875
31,2266.367834672615,2954.945323835134
32,2207.123977231536,3072.1954578972313
33,5240.576243940929,3139.4204380129027
34,1961.849650898207,1840.6523394860167
35,2149.0465321126894,2875.4529891204784
36,1786.4264532250354,2479.8491358054534
37,2627.971630740611,3170.0878041172136
38,2350.489925556313,2208.866738321144
39,3935.6632929659463,3958.3563669821683
40,1880.948191518141,2647.386123138762
41,2603.7248774313275,2184.9572710712746
42,3392.0897500629067,2206.2654225264855
43,2245.7694356057873,2073.1691566767304
44,2896.207858720927,1679.7345810313177
45,2341.1684149049765,2071.7891490700817
46,2306.1329532607147,2035.9523482655434
47,2257.0756520578825,3386.756171380538
48,1978.9105625872544,1623.5170670616928
49,2700.8654023185522,5309.135030261143
50,2322.424940168257,2913.725050383712
51,1998.0898250272176,2523.3646162302603
52,3775.301286026387,2948.128158333714
53,1774.080763402091,2673.468609697631
54,2555.4947897427505,2246.200661296962
55,1983.7323817107917,3528.8860159700225
56,2007.4227015596905,2358.3834404709683
57,1837.6012517453264,2002.7100510790406
58,2704.2434741418274,1936.0161604934892
59,5809.837740287619,2215.7671036768215
60,3309.6135978902184,1544.7912128579876
61,1442.0007617597098,2379.8050679021953
62,2889.8354574046266,1906.8998475682333
63,1391.7897912918293,1820.2798968042705
64,1937.629409459078,3256.2188910993264
65,1525.9915633165108,2772.0558417251646
66,4894.620201871183,1685.394008806457
67,2628.440754582139,2278.0947010501527
68,1740.2646093959784,1775.2819164957623
69,2601.8729174321334,2421.9664350439352
70,1996.278963349434,2764.038853589421
71,2414.2616648294115,1531.1829202556105
72,2969.19950239798,1687.5164410419409
73,2558.1724401645383,2551.211800993967
74,2246.941383242497,2066.3136941542944
75,2417.738971730439,2113.307159941219
76,3742.648226502695,2966.806119918231
77,2732.8075028627063,2168.982740430325
78,1592.459695068549,2681.310091445789
79,2361.9889445329054,3729.539947896378
80,2462.8597175997993,2330.1286708902626
81,2625.8386423067204,2770.398064529013
82,1661.4402411208152,2749.2149689310777
83,2261.478968933873,2543.9980107536317
84,2929.324597784147,2110.947894014328
85,2034.203398398156,2277.1208359302045
86,2293.6165322446896,2768.703730199287
87,2451.4433135490694,2389.737332617328
88,2955.587662209219,2243.378430001375
89,2308.516241204193,2052.865018591139
90,2229.8830567186474,615.9742026378233
91,2357.370957141557,2056.3086684823847
92,1921.6201728737599,3261.0823233861265
93,2391.8853353216728,3472.7008937445303
94,2803.505800295108,3845.9164889986278
95,2937.421901987506,3446.4711274129886
96,2014.706551653041,870.2438284193744
97,2044.6952011931187,2550.737158198051
98,2879.16782441379,2137.1501321821065
99,2391.225242155011,2734.81264718178
100,2372.5523256297197,1966.6389906995403
101,3544.704808480078,2317.017929164947
102,3007.447510629614,2222.091786140448
103,2174.6052917429715,2454.905847280018
104,2359.0517300681795,2476.1342565962173
105,2487.4572383949835,2095.518152529719
106,2128.1848887382644,4701.460488915156
107,2198.586648413296,2000.5428195464235
108,2903.749063234424,2984.728249649227
109,2197.4142523609726,4250.696551058668
110,4215.58970504427,2331.515728438726
111,2920.363582212577,2673.5635845845254
112,3448.765353153236,2870.716194377538
113,2984.928372792783,1438.8224098053602
114,2815.6533685338645,2762.9252529130695
115,1797.4510034916696,2648.2184209546713
116,2189.8578795620874,2655.3078189971957
117,2519.6464801620505,2011.849312161335
118,1409.025698173456,2997.187506137167
119,3318.8996866673497,2779.458267946471
120,1530.9988702036717,1971.84679020546
121,2985.1200566362286,2578.8240388342556
122,3194.103090700073,3845.7462019337704
123,2473.1073922528803,2463.9366605464575
124,3288.809631597657,2334.3572891608137
125,2298.9999052283424,2344.965609961389
126,2564.0095119752477,2670.2727729168255
127,4777.193047275525,2739.08093120322
128,1902.9044494110287,4383.232700271286
129,1925.0125411936833,3818.323825130107
130,1879.8896025349904,2046.4250968103338
131,5167.135335462894,2983.627322106169
132,2092.696163668987,3238.70625091599
133,2271.3765655383027,2280.8360650134937
134,1827.7711449171238,1410.425774062931
135,2234.5161920456226,2688.048354863056
136,3304.9867504087015,2321.2732061406177
137,2756.723090946189,2923.551240202177
138,2291.1084593691894,935.2170423203492
139,1303.9688058802021,2895.8149973081004
140,1810.1544518532523,4103.86629508908
141,2120.030218888114,2234.464129357224
142,2675.011072456051,2557.8838453270923
143,2234.350515119847,2446.7086042423166
