,modelD_cat_train,modelD_cat_test
0,2542.974649540255,2482.5797740688768
1,1840.9082389090563,3292.8849441117245
2,2210.013637020602,5386.4585693856325
3,2411.121354951092,2195.8940333945916
4,2148.9424242378063,2053.0564988197552
5,2090.4194075954224,3044.959777502451
6,2517.385200870027,2229.155662025868
7,2196.0501868953515,2126.0401227162633
8,2589.2714186998883,4954.767376629033
9,1903.1773496750134,2879.1299135032195
10,4426.487324153191,4215.508503415818
11,2491.9415615806274,1949.213097659948
12,3876.144964164383,4854.014009372397
13,2007.0245400129402,4456.118879352236
14,2146.005231435398,1969.1000993649127
15,1751.9703232622032,2598.9999169203006
16,2427.8864600917655,1805.6064997924325
17,2336.1654629259465,2517.244497597663
18,1785.1249956036697,3093.245221282764
19,2384.876835455508,3800.8294934474443
20,1613.1818993825802,1911.680343842588
21,1833.473691175807,2234.8028732725616
22,3368.3946653953935,3006.4440178049567
23,2627.2712599108204,2047.3068072761575
24,2606.214749938548,3048.623230922517
25,2383.7472126817715,2020.0786430006185
26,2069.0600145148856,4117.0933911281945
27,2947.7413746274146,1862.6948703782764
28,3768.8437335120652,2008.797771564381
29,1978.6709301195096,2313.922634358159
30,2325.9566917182156,1968.0860347283312
31,1947.0216399049855,2900.4724395798235
32,2280.269835656816,3015.531978801577
33,5867.632666436268,3323.9311238608525
34,1920.2910021744315,2171.437145882375
35,2153.587118040117,2442.982447469164
36,2478.6380440144158,2425.491778707571
37,2504.7914721007874,2841.816867047936
38,2456.67080394226,2374.9223873195674
39,4332.364040675919,3943.8535996283454
40,2021.2964428900314,2775.174052092632
41,2524.9276718111937,2277.7760200204916
42,3399.9656234167633,2142.838156807878
43,2300.127122746045,1909.6545095605065
44,2570.6151157617032,1735.3814007861752
45,2426.5595219699317,2485.1312324787054
46,2118.016747680608,1959.2104665861807
47,2118.016747680608,3599.4690227980855
48,2064.562976592937,2041.909666722927
49,2485.9872713845725,5662.051782368226
50,2351.693805534377,3241.2506208755767
51,2267.2327445271235,2218.6644051399003
52,4088.1902686490794,2650.953996028865
53,1939.1183556364076,2665.703158656158
54,2610.673507191459,2134.8330496146223
55,1834.8826213569573,3143.5322864308882
56,2204.694796741203,2104.4551291879825
57,2080.230357007887,2153.829129791071
58,2774.0515744002964,1966.3123828643184
59,5988.129503628721,1846.4332406069898
60,3030.6103870114807,1801.3892300156804
61,1623.924875596663,2184.8805620776166
62,2757.8796487805653,2004.5783882595904
63,1495.3622658990607,2194.1055487238195
64,2103.4294364594434,2943.8518258457907
65,1603.5643670657971,2663.0837633211336
66,4513.676807255831,1967.7625590595394
67,2294.1791695396078,2521.743951743065
68,2030.8153420655458,2041.6613592158246
69,2307.9423777605107,2484.4248311765487
70,2031.881000148523,2683.157476037981
71,2393.987242196561,1584.9719687705488
72,2489.5918523332016,1874.2891952689206
73,2307.9423777605107,2438.3347075494908
74,2651.74280137463,1792.3392470029717
75,2039.2949978768575,2150.187020131558
76,3298.632237901187,2512.480827741616
77,2563.530513437415,2018.3263921795635
78,1799.557047239688,2380.3285194687587
79,2572.8048996880852,3325.0725419787113
80,2537.5396263328976,2060.6898435834623
81,2435.0801295509405,2923.0243564236566
82,2058.17869639315,2473.164970118669
83,2280.421758637852,2518.4106781503774
84,2588.9087641084425,2228.429948129617
85,1963.6126465753282,1994.9388205242383
86,2394.2489661034147,2533.461808943099
87,2374.158643191847,2530.42161950076
88,2974.4030716401658,2392.050327386639
89,2394.2489661034147,2236.6187246869513
90,1846.3778540899639,1843.929203104107
