,modelD_lgbm_train,modelD_lgbm_test
0,2478.5721463153914,2385.6413329511042
1,1813.4276492913366,3052.6890374528
2,2166.7594437927005,5269.8733045811605
3,2466.4740041497575,2236.717305898059
4,2176.216316949285,2035.5232977600886
5,2323.38236571002,2934.9456851764844
6,2358.783375622786,2019.6462372258982
7,2121.272588601456,1991.3775180644939
8,2424.3172842803942,5029.543338755788
9,1953.9673431140998,2978.6830914943403
10,4374.589703970271,3741.94879060907
11,2509.02328812279,2037.429434053646
12,3166.6324974488416,4522.771881619618
13,2040.8236397870526,4494.420269214556
14,2124.397884244731,2190.986538644911
15,1803.704986660799,2311.94146347059
16,2401.966152377389,1868.3298402210116
17,2279.5486932469025,2536.4666940172706
18,1924.8969131968522,3084.993103713531
19,2253.202351616116,3808.9241573891645
20,1745.7871087850992,2177.6516781586715
21,2024.4039213608255,2691.48760848982
22,2919.408790088588,3107.2533196839404
23,2349.2394232200636,2033.3715863646132
24,2949.9681972723833,3252.24123560685
25,2267.417685772411,2272.5043818076374
26,2133.801952266464,4101.630371882057
27,2898.6922664165136,1855.4865209887423
28,3541.6712150363846,1859.2059993485877
29,2231.2588459427934,3317.3733119002377
30,2113.2671255306386,1947.4512011192758
31,2062.220606754706,3171.8047406307346
32,2391.6203286594855,2901.449617152706
33,5891.952843575658,3022.3873754818874
34,2001.4789478400842,2320.213129386436
35,2015.4916927735817,2780.646948997413
36,2430.073746621524,2331.4302446471675
37,2483.994656705506,3286.749007528006
38,2737.8511855378974,2302.955398804114
39,4157.012307384638,3580.3874364770186
40,2044.6798972301006,2765.758989952824
41,2244.6240979216204,2145.57987241307
42,3302.5888631593843,2411.0460118783167
43,2311.3106204839246,2193.663951165002
44,2379.711615252368,1833.111852736342
45,2368.6516048455987,2376.6308452897324
46,2216.180057317176,1842.5468702383478
47,2216.180057317176,3404.903428656188
48,2363.364283471366,2015.096631814172
49,2211.183292732282,5520.829197758614
50,2381.0904448990764,3580.983882473584
51,2369.334263940026,2507.5359443139046
52,3846.842816485266,2599.00944507926
53,1845.1392945077448,2517.259982484965
54,2490.1593755105164,2048.3956772746637
55,1789.90896544001,3412.9215927433493
56,2224.0640454875393,2053.0731266611147
57,2003.3482432343787,2342.815974837956
58,2806.037642584661,1899.6677655248034
59,6340.2667867564,2046.868826930368
60,3082.8943494472114,1861.2587104469844
61,1719.8026616119957,2267.4799389604495
62,3012.0921951942278,1954.7941023011329
63,1762.2691885799316,2362.442954383814
64,2200.613353568197,2723.015970500375
65,1571.9472861142503,2508.946775023171
66,4628.206981621373,2051.773553603126
67,2493.0789496092166,2382.167306033897
68,1863.1597820220559,1870.3627750837452
69,2615.6717875004874,2374.3752883376487
70,1886.4720777712273,2426.8114728987794
71,2614.7468990506027,1686.751538115985
72,2388.7235692788954,1681.3874232183498
73,2615.6717875004874,2576.3237210859206
74,2433.0957110355016,1838.9521737566251
75,2529.743575563899,2076.5836812397674
76,3580.5267073320524,2662.0854671678303
77,3124.0231093237353,2138.4535348785116
78,1819.4801398955076,2722.1902843347248
79,2786.61569404053,3201.2528710914826
80,2624.140456310838,2416.078962334762
81,2466.7979585614207,2803.7867150777965
82,1906.3723940977497,2766.887162704512
83,1997.4598814578737,2210.7884523849534
84,2473.1269489076412,2267.463170926456
85,2120.1716328122643,2008.5584397650896
86,2819.944161195217,2599.6068353780083
87,2502.934003293451,2348.605779902564
88,3329.7604272629146,2415.257147791184
89,2819.944161195217,2218.0640844788127
90,2030.9067233076685,1754.0189635097486
91,2338.528630746859,2131.8968441889383
92,2002.636334631772,3214.6014092217015
93,2334.7359134516596,3951.14786433869
94,2786.818218904192,3454.7469783589977
95,2841.491653344511,3282.7146606449896
