,modelE_cat_train,modelE_cat_test
0,2503.3418492585574,2264.2900734858677
1,1747.8440199017214,3277.593274698241
2,2341.721907452372,5250.279956753978
3,2434.524796858903,2132.0053577760395
4,2184.311420810531,2206.945873815921
5,2325.1067439108183,2674.2853516080804
6,2742.0665948846427,2084.9000818401773
7,2252.827693842896,2028.3144107481196
8,2626.5027641417296,4793.589867944183
9,2208.7696756694286,2886.5000946659543
10,4501.9833920678975,4022.5412147101124
11,2389.084639572452,1658.039019943469
12,3404.4785955346656,4517.638067863681
13,2052.9019684055975,4512.259598894298
14,2020.0383030443113,1956.8411754745102
15,1590.4682219426672,2537.1792062177683
16,2251.215980720307,1919.1281746507636
17,2268.757949226286,2497.0919928001385
18,1629.255850614324,3201.2053547801693
19,2381.120842357612,4003.916921506886
20,1613.170362222666,2059.340044377129
21,1680.5469564249688,2346.3589852511477
22,3351.0486596930014,2619.2454160041884
23,2461.6424748017334,2117.735128266758
24,2640.8423661887236,2867.7837461794834
25,2358.46892412022,2018.6913784788535
26,2153.35802360008,4033.5687523441024
27,2920.904831744436,1870.6886450368643
28,3502.488669430493,2088.7524673668186
29,2187.933509789749,2420.696927083768
30,2323.236178894569,1963.7138370161997
31,2112.114958537945,3012.2234774129292
32,2370.921274890765,2568.005454413958
33,5794.954474227896,3133.6063528711593
34,1924.5184053711123,2194.6929081826447
35,2215.7044979032944,2464.7866849972283
36,2076.077180874312,2331.9221205691306
37,2509.816873122109,3055.3038815583127
38,2377.390095504422,2198.308887899161
39,4355.0227977659615,4095.1504067997303
40,1647.7209867707304,2614.624518049004
41,2728.7297522795193,2272.1243283244294
42,3552.4373140746384,1804.3282249331446
43,2325.4763332421153,2036.0049132092852
44,2630.4560856173084,1688.2308003655132
45,2380.1711415513623,2303.815438067537
46,2245.597036934581,2099.447270629772
47,2157.11621778849,3789.5119881647597
48,2511.086100296194,1989.5917722680788
49,2385.777921592498,5727.689045759211
50,2491.462805487773,3168.876416257469
51,2169.609803256915,2401.060131249782
52,3961.7126921906174,2420.3251137699226
53,1787.7638594487496,2570.9289631189836
54,2900.7105971558985,2158.102121091252
55,1922.4052092405166,3167.6838510183006
56,1930.25893266916,2198.5971422523044
57,2597.2485272336758,2265.2931112350516
58,2733.297763414,1873.051436826828
59,6131.813524689772,2100.7649694122747
60,2788.394152088137,1690.7224447585438
61,1825.2608421501868,2232.856992866106
62,3005.9632250143845,1957.4950229814276
63,1742.2466416133923,2261.4871092279445
64,2205.3492976534035,2966.47381273132
65,1458.5028366518598,2715.446321561666
66,5094.3843472929475,1943.929689954298
67,2472.824305869868,2087.6858533099658
68,2107.7182184589255,1638.3482522212712
69,2369.883324369021,2401.7506708805013
70,2125.5004336349148,2859.2998567959175
71,2522.0165081642176,1572.9207404082067
72,3055.5639107561783,1637.8726323043918
73,2410.8954770702912,2774.470364267472
74,2249.455516516327,2064.59611594087
75,2313.8671787900366,2036.1263294003784
76,3518.5973764524733,2434.0045710080967
77,2789.3061739551945,2052.6557034520297
78,1893.4278938033892,2620.9933747164423
79,2338.270554915275,3036.4581905944833
80,2544.46959638953,2247.0265035938633
81,2284.6957113081526,2882.653349316886
82,1879.3560511907178,2863.9314835542327
83,1972.8771617097073,2612.032717357598
