,modelE_lgbm_train,modelE_lgbm_test
0,2547.7864714822076,2217.142859889783
1,1884.1748101809103,2895.2230089712284
2,2109.276379337565,5213.947006863711
3,2418.6419237799687,2242.436035840886
4,2284.0350040329217,2228.5179807709414
5,2465.520641999021,2931.485776267677
6,2846.1385770840925,2036.5853467496388
7,2454.285523731108,2125.0302445488696
8,2473.0271946593725,4486.808662813033
9,2350.883862298554,3177.269454393626
10,4289.03993835115,3755.74296712639
11,2466.6197558844938,1741.9322194681658
12,3200.9962747648083,4499.803595131617
13,2064.0749369203872,4584.47492044826
14,2050.399628132257,1907.9000812673416
15,1723.66013124851,2450.0341776981027
16,2361.201504611933,1903.599888811581
17,2271.5752938868486,2600.0509983184515
18,1820.816109875553,3555.392230808564
19,2377.6631775732453,4345.831386525008
20,1629.1017564251351,2271.915962965416
21,1933.3009471393507,2717.2706877039745
22,2894.005782533549,2755.025832345632
23,2459.7555343299255,2138.646431840042
24,2089.1150383713516,2944.1039946660267
25,2459.7119326665406,2045.4564565887983
26,2079.3893430627595,4104.804931411606
27,2703.9166678232327,1901.862322559028
28,3171.6623011476495,2067.4027881014704
29,2202.93674425549,2307.0406407445544
30,2347.5143011651453,1966.4290172957321
31,2171.119240584238,2631.8383324902634
32,2352.9507399227355,2591.1808558053294
33,5628.066536562681,2999.004606813259
34,2021.3889642978213,2289.061183912919
35,2149.5093979609765,2458.4865632704286
36,2125.564030606863,2430.849969602347
37,2759.832415864626,3377.127404738511
38,2638.2827904496876,2142.241150333443
39,4253.2305681161215,3613.6204844205663
40,1959.2629060621878,2771.8538275410315
41,2821.595846916124,2271.1794576814646
42,2860.586058765595,1842.194865014777
43,2170.726283501897,1988.840777609693
44,2659.9757124557814,1774.6087531545095
45,2373.6413122175522,2604.3470903305815
46,2253.9808119106483,2043.252750375936
47,2422.7362106605265,3485.691169229478
48,2380.3156436156723,1894.138365726591
49,2249.699573723128,5326.477251032319
50,2538.9558257315316,3497.2743667442737
51,2041.705329577587,2348.6961700661354
52,3953.0932398074287,2314.9106308171304
53,1589.6615316295708,2454.483760905833
54,2629.0512273627533,2202.6862948848584
55,1820.9885788857205,3227.356294776919
56,2025.1079979980648,2253.85643476628
57,2575.5602435588644,2173.899114601477
58,2733.8325951137854,1900.0731164835809
59,5565.6038903086255,2056.8374274135103
60,2974.1201562389933,1621.822042854812
61,1853.9319972603814,2207.0893575524196
62,2776.2194527705115,1882.0878053172219
63,1856.6724027563114,2228.669002835405
64,2256.198283741344,2761.8190153871683
65,1686.612405704599,2794.723467271896
66,4403.1358832792985,1938.661793099093
67,2454.6795122012495,2112.6897990665534
68,2001.567540703557,1626.7229028009083
69,2520.7123166326464,2415.8680188880276
70,1977.8152126015566,3083.613753218073
71,2567.9055458680864,1640.799479964647
72,2861.73352361004,1600.8363926434981
73,2520.7123166326464,2898.8854432951666
74,2215.2261668367178,1992.0126746408744
75,2403.4439434677097,2019.894510663839
76,3391.6934613294293,2419.0955098271047
77,2736.65784337539,2180.0635869331213
78,1915.9295561038168,2679.159010615686
79,2536.1794365868755,3281.8170502540356
80,2804.4060384213867,2138.821756646542
81,2461.1156679109176,2854.314286240875
82,1895.710803901294,2768.561238570989
83,1831.239207311222,2364.216062558483
84,2431.750952733786,2043.5220219648704
85,2139.3618944270956,1844.063006989425
86,2130.072903832088,2642.632239293338
87,2293.8102385053576,2645.2032106327783
88,3059.1601960592006,2347.7354085198517
89,2186.3665326222253,2366.2940300022838
